"filename", "language", "JSON", "C#", "comment", "blank", "total"
"d:\MakeGames\GameProject\ori\mod_source\blocks\logs\tangerine\tree_log.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\blocks\ores\copper_ore.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\ores\gold_ore.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\ores\iron_ore.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\ores\silver_ore.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\blocks\ores\stone.json", "JSON", 13, 0, 0, 0, 13
"d:\MakeGames\GameProject\ori\mod_source\blocks\picked_berry_bush.json", "JSON", 17, 0, 0, 0, 17
"d:\MakeGames\GameProject\ori\mod_source\blocks\portal.json", "JSON", 13, 0, 0, 0, 13
"d:\MakeGames\GameProject\ori\mod_source\blocks\portal_base.json", "JSON", 12, 0, 0, 0, 12
"d:\MakeGames\GameProject\ori\mod_source\blocks\remote_market.json", "JSON", 14, 0, 0, 0, 14
"d:\MakeGames\GameProject\ori\mod_source\blocks\sand.json", "JSON", 29, 0, 0, 0, 29
"d:\MakeGames\GameProject\ori\mod_source\blocks\savannah_grass_block.json", "JSON", 13, 0, 0, 0, 13
"d:\MakeGames\GameProject\ori\mod_source\blocks\snow_block.json", "JSON", 12, 0, 0, 0, 12
"d:\MakeGames\GameProject\ori\mod_source\blocks\soup_pot.json", "JSON", 14, 0, 0, 0, 14
"d:\MakeGames\GameProject\ori\mod_source\blocks\sugar_cane.json", "JSON", 23, 0, 0, 0, 23
"d:\MakeGames\GameProject\ori\mod_source\blocks\torch.json", "JSON", 28, 0, 0, 0, 28
"d:\MakeGames\GameProject\ori\mod_source\blocks\water.json", "JSON", 18, 0, 0, 0, 18
"d:\MakeGames\GameProject\ori\mod_source\blocks\yellow_stone.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\entities\ancient_boxer.json", "JSON", 23, 0, 0, 0, 23
"d:\MakeGames\GameProject\ori\mod_source\entities\bullets\arrows\flint_arrow.json", "JSON", 17, 0, 0, 0, 17
"d:\MakeGames\GameProject\ori\mod_source\entities\bullets\extreme_weather_guard_sand.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\entities\bullets\extreme_weather_guard_snowball.json", "JSON", 11, 0, 0, 0, 11
"d:\MakeGames\GameProject\ori\mod_source\entities\bullets\grassland_guard_sapling.json", "JSON", 17, 0, 0, 0, 17
"d:\MakeGames\GameProject\ori\mod_source\entities\bullets\spark.json", "JSON", 17, 0, 0, 0, 17
"d:\MakeGames\GameProject\ori\mod_source\entities\coin_entity.json", "JSON", 8, 0, 0, 0, 8
"d:\MakeGames\GameProject\ori\mod_source\entities\drop.json", "JSON", 8, 0, 0, 0, 8
"d:\MakeGames\GameProject\ori\mod_source\entities\hostile_farmer.json", "JSON", 24, 0, 0, 0, 24
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\livestock\pig.json", "JSON", 27, 0, 0, 0, 27
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\livestock\poultry\chicken.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\livestock\poultry\duck.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\caterpillar.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\cicada.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\cricket.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\earthworm.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\fly.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\katydid.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\longicorn.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\maggot.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\mantis.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\pillworm.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\snail.json", "JSON", 22, 0, 0, 0, 22
"d:\MakeGames\GameProject\ori\mod_source\entities\nick.json", "JSON", 17, 0, 0, 0, 17
"d:\MakeGames\GameProject\ori\mod_source\entities\oak_tree_man.json", "JSON", 31, 0, 0, 0, 31
"d:\MakeGames\GameProject\ori\mod_source\entities\player.json", "JSON", 20, 0, 0, 0, 20
"d:\MakeGames\GameProject\ori\mod_source\entities\region_guards\extreme_weather_guard.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\entities\region_guards\grassland_guard.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\entities\savage.json", "JSON", 24, 0, 0, 0, 24
"d:\MakeGames\GameProject\ori\mod_source\entities\slimes\bamboo_grove_slime.json", "JSON", 31, 0, 0, 0, 31
"d:\MakeGames\GameProject\ori\mod_source\entities\slimes\desert_slime.json", "JSON", 31, 0, 0, 0, 31
"d:\MakeGames\GameProject\ori\mod_source\entities\slimes\grassland_slime.json", "JSON", 31, 0, 0, 0, 31
"d:\MakeGames\GameProject\ori\mod_source\entities\slimes\oak_forest_slime.json", "JSON", 35, 0, 0, 0, 35
"d:\MakeGames\GameProject\ori\mod_source\entities\slimes\rain_forest_slime.json", "JSON", 31, 0, 0, 0, 31
"d:\MakeGames\GameProject\ori\mod_source\entities\slimes\savannah_grassland_slime.json", "JSON", 35, 0, 0, 0, 35
